time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear
2023-12-06,75757.66540189291,110000.87113834612,281368.9206923945,21088.771407400378,0.0,0.0
2023-12-07,69968.4769958813,107547.01969795804,282512.1893371638,28188.542609030716,0.0,0.0
2023-12-08,55645.44634068811,108430.46582492301,290529.16034132155,33611.15613310122,0.0,0.0
2023-12-09,41108.76712572841,107532.05713296108,298381.4824442794,41193.92193706498,0.0,0.0
2023-12-10,28826.133193424845,117453.30869483661,297042.4701322521,44894.31661952041,0.0,0.0
2023-12-11,17521.832298252317,124247.8520483311,285448.5531959514,60997.991097499085,0.0,0.0
2023-12-12,4983.409074466831,133654.62879767033,281046.81714828534,68531.37361961138,0.0,0.0
2023-12-13,4983.409074466831,130382.42780035155,285478.7487203268,67371.64304488868,0.0,0.0
2023-12-14,4938.652890360254,124367.79853903534,288087.7891981739,70821.98801246437,0.0,0.0
2023-12-15,4938.652890360254,124507.86862470864,287110.17945789173,71659.52766707327,0.0,0.0
2023-12-16,4938.652890360254,126604.72411441084,269118.2844216804,87554.56721358237,0.0,0.0
2023-12-17,4938.652890360254,122281.76926768738,264017.90882242424,96977.89765956203,0.0,0.0
2023-12-18,4938.652890360254,117150.35608326127,268716.9470745553,97410.27259185706,0.0,0.0
2023-12-19,4938.652890360254,107554.35792958556,268184.17837174865,107539.03944833946,0.0,0.0
2023-12-20,4938.652890360254,100218.33689433892,254837.0704725489,128222.16838278582,0.0,0.0
2023-12-21,4938.652890360254,91688.03135644793,246355.25278349261,145234.2916097331,0.0,0.0
2023-12-22,4938.652890360254,81612.62622090665,243090.6279964865,158574.32153228048,0.0,0.0
2023-12-23,4938.652890360254,64711.407249700715,261499.22503010693,157066.943469866,0.0,0.0
2023-12-24,4938.652890360254,33823.18669681777,276939.2338146938,172515.15523816206,0.0,0.0
2023-12-25,4938.652890360254,14355.58536664158,285019.7381510593,183902.25223197276,0.0,0.0
2023-12-26,4938.652890360254,6887.86073383058,274958.94707273005,201430.767943113,0.0,0.0
2023-12-27,4938.652890360254,2802.455618352843,268324.6860633248,211934.29536156263,216.13870643333294,0.0
2023-12-28,4938.652890360254,1979.0440281451845,259848.06195213512,221414.4466516545,36.02311773888882,0.0
2023-12-29,4938.652890360254,1484.9295995809644,244646.93138210985,237145.71476798283,0.0,0.0
2023-12-30,4938.652890360254,1679.2197390722872,246418.61881813075,234529.05957510776,650.6776173628202,0.0
2023-12-31,4938.652890360254,1978.0696528350413,234397.70720222907,246829.75265913177,72.04623547777764,0.0
2024-01-01,4938.652890360254,658.174297552008,233620.77819939156,248636.9529402103,361.6703125197746,0.0
2024-01-02,4938.652890360254,783.3112509996604,241700.69793100166,239049.6595765595,1743.9069911128822,0.0
2024-01-03,4938.652890360254,4700.8288051331965,237690.52920515608,238266.45540486358,2619.7623345207767,0.0
2024-01-04,4938.652890360254,25087.427127100447,220696.53971983428,234834.33051422678,2659.2783885121485,0.0
2024-01-05,4938.652890360254,24846.980877922433,228642.70245863116,227787.09666949025,2000.7957436298166,0.0
2024-01-06,4938.652890360254,32076.66403536519,224093.34562468715,226817.73642184635,289.82966777498075,0.0
2024-01-07,4938.652890360254,39530.44288144611,212697.81942087354,231049.313447354,0.0,0.0
2024-01-08,4938.652890360254,42022.90325949272,200412.99096727394,240733.6121696903,108.06935321666646,0.0
2024-01-09,4938.652890360254,57831.946696550265,182439.87181315548,243005.7572399679,0.0,0.0
2024-01-10,4938.652890360254,81886.01756914584,173602.21823026944,227789.33995025838,0.0,0.0
2024-01-11,4938.652890360254,101531.70249175296,153107.93909569283,228637.93416222787,0.0,0.0
2024-01-12,4938.652890360254,101713.38385210364,157803.761675447,223760.43022212305,0.0,0.0
2024-01-13,4938.652890360254,88840.13100858443,168845.35063404543,225592.09410704378,0.0,0.0
2024-01-14,4938.652890360254,64424.319885464756,200732.25206650223,218121.00379770668,0.0,0.0
2024-01-15,4938.652890360254,59262.63972314202,214331.76407897746,209683.1719475542,0.0,0.0
2024-01-16,4938.652890360254,44009.91127471552,245540.7405821365,193726.92389282165,0.0,0.0
2024-01-17,4938.652890360254,30891.408842782497,236082.37155111515,216303.79535577598,0.0,0.0
2024-01-18,4938.652890360254,12986.887016880837,257080.72692055252,213209.9618122403,0.0,0.0
2024-01-19,4938.652890360254,4613.45437144653,251402.39740218982,227261.72397603732,0.0,0.0
2024-01-20,4938.652890360254,1303.7531690657906,235399.03867237433,246574.7839082335,0.0,0.0
2024-01-21,4938.652890360254,147.3896183468398,205877.32514743993,277252.8609838869,0.0,0.0
2024-01-22,4938.652890360254,147.3896183468398,170697.31002217354,312432.87610915327,0.0,0.0
2024-01-23,4938.652890360254,196.91360390862098,156112.56628243215,326968.09586333286,0.0,0.0
2024-01-24,4938.652890360254,147.3896183468398,131322.60448969336,351766.8589633072,40.72267832619663,0.0
2024-01-25,4938.652890360254,147.3896183468398,105613.39724846702,375944.44679650955,1572.3420863502338,0.0
2024-01-26,4938.652890360254,147.3896183468398,92347.38121127238,389007.052215851,1775.7527042034585,0.0
2024-01-27,4938.652890360254,147.3896183468398,69255.60457366683,409860.3571311963,4014.224426463699,0.0
2024-01-28,4938.652890360254,147.3896183468398,58516.12021812226,422164.1525062061,2449.913406998435,0.0
2024-01-29,4938.652890360254,147.3896183468398,37561.091468240265,441117.1679648604,4451.926698226172,0.0
2024-01-30,4938.652890360254,147.3896183468398,24863.619096385188,449885.61879450956,8380.948240432077,0.0
2024-01-31,4938.652890360254,147.3896183468398,16742.42090804726,442455.2581565883,23932.50706669123,0.0
2024-02-01,4938.652890360254,147.3896183468398,14739.76101265187,432893.0049445501,35497.42017412484,0.0
2024-02-02,4938.652890360254,147.3896183468398,13378.980352553586,415572.21727092075,54178.988507852475,0.0
2024-02-03,4938.652890360254,147.3896183468398,13856.488398370333,396742.05918143975,72531.63855151672,0.0
2024-02-04,4938.652890360254,147.3896183468398,12843.511972133161,379097.1426258274,91189.53153336624,0.0
2024-02-05,4938.652890360254,147.3896183468398,14536.463154093617,366930.70302120084,101663.01995603241,0.0
2024-02-06,4938.652890360254,147.3896183468398,12717.047217479068,355049.7028064845,115363.43610736326,0.0
2024-02-07,4938.652890360254,147.3896183468398,14024.298575574521,322483.8274539365,146622.0601018158,0.0
2024-02-08,4938.652890360254,147.3896183468398,19588.09599899381,301224.7539508944,162317.33618143862,0.0
2024-02-09,4938.652890360254,147.3896183468398,19545.302986358634,310356.93963188044,153227.94351308772,0.0
2024-02-10,4938.652890360254,147.3896183468398,15987.383879429752,293814.5535037343,173328.24874816282,0.0
2024-02-11,4938.652890360254,147.3896183468398,16872.721249975635,289492.5131657078,176764.95171564337,0.0
2024-02-12,4938.652890360254,147.3896183468398,14959.824225179456,291267.90083543124,176902.46107071612,0.0
2024-02-13,4938.652890360254,147.3896183468398,11945.958799915663,300547.64316767466,170636.5841637365,0.0
2024-02-14,4938.652890360254,147.3896183468398,9477.596696013625,293885.7477086343,179766.8417266789,0.0
2024-02-15,4938.652890360254,147.3896183468398,8905.614101811643,297331.5991218735,176892.97290764167,0.0
2024-02-16,4938.652890360254,147.3896183468398,7917.713128087252,279501.910416308,195710.5625869316,0.0
2024-02-17,4938.652890360254,147.3896183468398,5201.235475246175,285001.1265691739,192927.82408690674,0.0
2024-02-18,4938.652890360254,147.3896183468398,7259.476514277359,280194.26258702646,195676.44703002303,0.0
2024-02-19,4938.652890360254,147.3896183468398,12648.955183170785,224458.25591171195,246022.97503644408,0.0
2024-02-20,4938.652890360254,792.5659659816781,14139.648902103512,208084.8034094591,260260.55747212938,0.0
2024-02-21,4938.652890360254,2594.2035408857523,18315.2611955556,191284.52707045607,271083.58394277625,0.0
2024-02-22,4938.652890360254,5126.520948696647,24601.015949740482,180262.845907078,273287.19294415845,0.0
2024-02-23,4938.652890360254,5837.828496357339,28498.4577763365,172901.47875173725,276039.81072524254,0.0
2024-02-24,4938.652890360254,9933.99487172865,34354.28621368523,161751.02332109964,277238.27134316013,0.0
2024-02-25,4938.652890360254,147.3896183468398,20603.88488036645,183539.86557756778,278986.4356733926,0.0
2024-02-26,4938.652890360254,98.25974556455986,18854.540127012257,174150.04836083928,290174.72751625755,0.0
2024-02-27,4938.652890360254,98.25974556455986,18526.74183193474,199587.47761446453,265065.09655770985,0.0
2024-02-28,4938.652890360254,147.3896183468398,18012.697473185985,183939.97302669086,281177.51563145,0.0
2024-02-29,4938.652890360254,147.3896183468398,19108.658933465922,175303.89277510918,288717.6344227517,0.0
2024-03-01,4938.652890360254,147.3896183468398,19351.31764959224,176593.1563704681,287185.71211126645,0.0
2024-03-02,4938.652890360254,147.3896183468398,16234.571773359268,148008.5113464411,318887.1030115265,0.0
2024-03-03,4938.652890360254,147.3896183468398,13465.067105338974,149443.42497842852,320221.6940475593,0.0
2024-03-04,4938.652890360254,0.0,0.0,151016.84111997572,332260.7346296979,0.0
2024-03-05,4938.652890360254,1225.1290336334755,25338.097085901893,139003.59935891116,317710.7502712271,0.0
2024-03-06,4938.652890360254,1348.1552444164636,23977.472472965044,143055.93207220105,314896.01596009114,0.0
2024-03-07,4938.652890360254,872.7251084765072,21941.685927683873,139597.77669315386,320865.38802035945,0.0
2024-03-08,4938.652890360254,1517.3391594067568,19072.04094891143,124430.59721447653,338257.5984268789,0.0
2024-03-09,4938.652890360254,1266.6434943674212,19143.028881826678,129909.44796560268,332958.45540787687,0.0
2024-03-10,4938.652890360254,1396.8963413461188,19548.625285523885,124039.57105605105,338292.48306675255,0.0
2024-03-11,4938.652890360254,1396.8963413461188,18423.71655406968,123668.18939222765,339788.7734620302,0.0
2024-03-12,4938.652890360254,1266.8452448991525,20101.115906625644,120778.07141092131,341131.54318722757,0.0
2024-03-13,4938.652890360254,1006.9444094468142,21819.389989657844,114030.8505736481,346420.39077692083,0.0
2024-03-14,4938.652890360254,619.4092975107699,23656.754697786622,108462.11076225144,350539.30099212483,0.0
2024-03-15,4938.652890360254,834.5499554265704,25225.129806242032,108561.2025599386,348656.69342806644,0.0
2024-03-16,4938.652890360254,1773.3445842711612,26358.2262469502,97140.90662592361,358005.09829252865,0.0
2024-03-17,4938.652890360254,3161.2927536242796,30017.20271320588,116837.6865807483,333261.3937020952,0.0
2024-03-18,4938.652890360254,3920.886704127003,31910.803166290145,121725.59426159026,325720.29161766625,0.0
2024-03-19,4938.652890360254,4727.917122870166,34425.703999415986,108896.29217300614,335227.66245438135,0.0
2024-03-20,4938.652890360254,6111.831213231937,36568.79070227756,119720.9425847764,320876.0112493877,0.0
2024-03-21,4938.652890360254,5623.406015783728,32919.69674739771,127570.22935679987,317164.24362969236,0.0
2024-03-22,4938.652890360254,3207.9218864935933,32790.17166878695,129482.04767961065,317797.4345147824,0.0
2024-03-23,4938.652890360254,3031.0097024058123,30328.630944416334,145967.86962872357,303950.06547412794,0.0
2024-03-24,4938.652890360254,2188.6104918505434,26175.266253822017,154561.615408674,300352.08359532716,0.0
2024-03-25,4938.652890360254,1824.9582625227254,22899.49820944284,159037.55001332372,299515.56926438434,0.0
2024-03-26,4938.652890360254,565.7090286248524,19367.29190025573,159834.46351136602,303510.111309427,0.0
2024-03-27,4938.652890360254,688.3690105537199,23525.20508923365,158644.28848579625,300419.71316409006,0.0
2024-03-28,4938.652890360254,2683.980783324334,35662.15545163507,144958.00039286364,299973.4391218506,0.0
2024-03-29,4938.652890360254,5887.19228546005,33577.24688189081,143121.8585802354,300691.2780020874,0.0
2024-03-30,4938.652890360254,5480.7322284532875,31613.149995157382,142572.06053329876,303611.63299276424,0.0
2024-03-31,4938.652890360254,3435.6892652012434,34997.68780081781,130651.02645437072,314193.1722292839,0.0
2024-04-01,4938.652890360254,2618.2741559819497,30943.442471046328,136540.71885076165,313175.14027188375,0.0
2024-04-02,4938.652890360254,1076.5482058011826,30430.795805259404,128431.71752218592,323338.51421642717,0.0
2024-04-03,4938.652890360254,996.5250883943216,25076.599570960076,129956.00806757613,327248.4430227431,0.0
2024-04-04,4938.652890360254,358.57825950522135,20829.16335628941,133156.22479201166,328933.6093418674,0.0
2024-04-05,4938.652890360254,0.0,20548.477317580735,131718.4565418843,331010.6418902086,0.0
2024-04-06,4938.652890360254,0.0,15835.973677925833,127135.24635341587,340306.35571833194,0.0
2024-04-07,4938.652890360254,0.0,11568.214566664405,125436.2036963954,346273.15748661384,0.0
2024-04-08,4938.652890360254,0.0,5508.01169589814,114094.96925035959,363551.20977403736,123.38502937857994
2024-04-09,4938.652890360254,0.0,5982.606404031807,105882.75113328101,371412.21821236087,0.0
2024-04-10,4938.652890360254,0.0,5616.5117316540045,106442.6379278078,371218.42609021184,0.0
2024-04-11,4938.652890360254,0.0,0.0,90766.0253588268,392511.55039084685,0.0
2024-04-12,4938.652890360254,0.0,0.0,92158.25531673785,391119.32043293584,0.0
2024-10-24,487456.65996742353,0.0,759.5686726103783,0.0,0.0,0.0
2024-10-25,481457.1345327995,2954.6854092187814,3587.4478493682304,216.96084864741016,0.0,0.0
2024-10-26,471376.83189139614,12625.385574816708,4140.937649335289,73.07352448574547,0.0,0.0
2024-10-27,453732.630792586,28995.640000490086,5487.9578469577955,0.0,0.0,0.0
2024-10-28,429263.86552952137,50016.254878008156,8936.108232504419,0.0,0.0,0.0
2024-10-29,404249.9430937123,71743.14625710578,12223.139289215802,0.0,0.0,0.0
2024-10-30,381560.1740234223,96989.17141879632,9666.883197815296,0.0,0.0,0.0
2024-10-31,354560.68124693085,128579.82002314719,5075.727369955846,0.0,0.0,0.0
2024-11-01,323498.1960958798,158440.98702136503,6277.045522789155,0.0,0.0,0.0
2024-11-02,278889.54383806675,206486.26102800312,2840.4237739640093,0.0,0.0,0.0
2024-11-03,253321.62017990838,234600.87622090825,293.73223921724076,0.0,0.0,0.0
2024-11-04,234715.54203360685,253133.26473518205,367.42187124498645,0.0,0.0,0.0
2024-11-05,217788.75535746108,269628.607786849,798.8654957238077,0.0,0.0,0.0
