time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear,year,total_check
2011-04-01,58415.224555034,21656.850526317547,118138.22495809972,72620.16254877084,8644.417602385305,442.8840760038384,2011,279917.76426661125
2012-04-01,112139.00785553442,8925.606012676768,75856.94649419085,65547.05178163575,15437.786896293775,2011.3652262796702,2012,279917.7642666112
2013-04-01,146971.05309228893,22854.8550241493,53200.37415214013,46689.04416375141,4607.558408151754,2431.7425705504816,2013,276754.627411032
2014-04-01,190429.07234702213,7968.076252572017,32476.139196141936,42366.18252015324,5521.818489655565,208.28318411628635,2014,278969.5719896612
2015-04-01,175560.9859709919,9809.177115897963,42322.16854150002,46481.194097538,5299.8175663765705,444.4209743067583,2015,279917.76426661125
2016-04-01,173551.25871556252,15090.047109982335,54051.521961768536,34613.8541043941,2390.408786053279,220.67358885045925,2016,279917.7642666113
2017-04-01,115083.42626439038,9746.559401697294,87184.1770650222,55506.19945917843,11952.981102016178,444.4209743067583,2017,279917.76426661125
2018-04-01,255900.71004577176,439.80759055995895,3243.687115923311,15750.46327261916,4151.002569769945,432.093671967058,2018,279917.76426661114
2019-04-01,237593.2536030102,1350.122644830971,8587.317045265017,27996.872160045285,4171.064811750264,219.1340017094997,2019,279917.76426661125
2020-04-01,133532.70141467563,1835.5018405565088,45326.73587260975,69439.10460298843,25066.79279573508,4716.927740045807,2020,279917.7642666112
2021-04-01,86872.6079291169,8929.845807436202,80657.86604811632,76602.78217387755,23086.832392306642,3767.829915757603,2021,279917.7642666112
2022-04-01,72458.52213665284,9006.522057903185,109396.90924622487,70211.70248941463,15841.390091554966,3002.71824486075,2022,279917.76426661125
2023-04-01,43735.26025197155,13595.56341393718,110916.78673389391,90608.43760427958,17724.99102957233,2627.5070855131726,2023,279208.5461191677
