time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear,year,total_check
2011-04-01,226452.16177026002,35626.634304308216,31203.270585391234,4554.010967338209,250.87597133841302,0.0,2011,298086.95359863614
2012-04-01,215582.03405787802,38291.69441286172,35247.29040432132,7541.037698026843,3488.1955019834722,247.90835049724507,2012,300398.16042556864
2013-04-01,249569.9250334589,29735.33559803808,19609.60263107493,1497.6652281346942,0.0,0.0,2013,300412.5284907066
2014-04-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2014,301976.5903910921
2015-04-01,291229.3889898493,2520.449231713785,6246.468107915601,1980.2840616134395,0.0,0.0,2015,301976.5903910921
2016-04-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2016,301976.5903910921
2017-04-01,266942.5684135435,10322.60159362162,20110.35807950322,3578.3808630879435,767.3770100364185,255.30443129945354,2017,301976.5903910922
2018-04-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2018,301976.5903910921
2019-04-01,301976.5903910921,0.0,0.0,0.0,0.0,0.0,2019,301976.5903910921
2020-04-01,296730.46280302294,0.0,3000.1264844472653,1004.9800626935125,742.2336803094746,498.7873606189488,2020,301976.5903910922
2021-04-01,290938.1637577759,751.1395273584706,5278.7071695151635,1759.0872108931508,1753.1580287533945,1496.334696796033,2021,301976.5903910921
2022-04-01,268927.3408925568,21946.53339317961,9537.279234054684,1034.3812839355219,0.0,0.0,2022,301445.5348037266
2023-04-01,266033.0583774457,15060.863981145501,16620.81475389769,1751.672771185939,748.1810409284233,997.5747212378976,2023,301212.16564584104
