time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear,year,total_check
2010-10-01,353007.8070898636,15437.769812023444,90814.06748962485,7826.455568199652,297.994560986328,0.0,2010,467384.09452069784
2011-10-01,393936.4278159118,14130.779873515037,56247.50012219206,2819.116300994286,0.0,0.0,2011,467133.8241126132
2012-10-01,467682.13265885133,0.0,0.0,0.0,0.0,0.0,2012,467682.13265885133
2013-10-01,313993.97320745216,9691.763234062262,55005.71764839044,75217.47685733791,13773.201711608493,0.0,2013,467682.1326588513
2014-10-01,308863.9359310924,12975.21530788188,74464.49190490477,65360.78604514974,4945.134395673653,147.3792640554897,2014,466756.94284875796
2015-10-01,296014.77628116054,28823.126737919454,136555.369127522,4995.518172503625,959.455146518314,0.0,2015,467348.2454656239
2016-10-01,467393.9477169402,0.0,288.1849419111073,0.0,0.0,0.0,2016,467682.1326588513
2017-10-01,421184.2703066594,4166.565385734637,36516.87548262182,4520.930505422861,1147.754223028835,0.0,2017,467536.3959034676
2018-10-01,282625.55674616125,29840.36840455208,144442.7041171108,8900.563514697778,0.0,0.0,2018,465809.1927825219
2019-10-01,454031.70164164493,2556.153633814172,10463.864240171477,630.4131432207874,0.0,0.0,2019,467682.1326588514
2020-10-01,281482.84234857024,24372.36493668759,152589.99781770486,7575.0539970385435,872.6982169362266,0.0,2020,466892.9573169374
2021-10-01,197782.9934080252,41567.41720986517,214543.18825597965,11695.797307191426,450.3286263992063,152.29593550774914,2021,466192.0207429684
2022-10-01,358088.82293725444,13443.340628031114,95424.651575,579.5807631820898,0.0,0.0,2022,467536.3959034676
