time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear
2023-10-18,345511.9385656252,0.0,745.3957646239909,0.0,0.0,0.0
2023-10-19,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-20,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-21,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-22,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-23,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-24,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-25,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-26,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-27,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-28,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-29,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-30,345511.9385656252,745.3957646239909,0.0,0.0,0.0,0.0
2023-10-31,345447.74496888614,809.5893613630686,0.0,0.0,0.0,0.0
2023-11-01,345313.71791905985,943.6164111893148,0.0,0.0,0.0,0.0
2023-11-02,345183.13521396753,1074.1991162816616,0.0,0.0,0.0,0.0
2023-11-03,344795.04509284964,1462.2892373995837,0.0,0.0,0.0,0.0
2023-11-04,344795.04509284964,1462.2892373995837,0.0,0.0,0.0,0.0
2023-11-05,344795.04509284964,1462.2892373995837,0.0,0.0,0.0,0.0
2023-11-06,345055.11531441816,1202.219015831011,0.0,0.0,0.0,0.0
2023-11-07,345055.11531441816,1202.219015831011,0.0,0.0,0.0,0.0
2023-11-08,345055.11531441816,1202.219015831011,0.0,0.0,0.0,0.0
2023-11-09,345055.11531441816,1202.219015831011,0.0,0.0,0.0,0.0
2023-11-10,345055.11531441816,1202.219015831011,0.0,0.0,0.0,0.0
2023-11-11,345055.11531441816,1202.219015831011,0.0,0.0,0.0,0.0
2023-11-12,345183.13521396753,1074.1991162816616,0.0,0.0,0.0,0.0
2023-11-13,345183.13521396753,1074.1991162816616,0.0,0.0,0.0,0.0
2023-11-14,345055.11531441816,1202.219015831011,0.0,0.0,0.0,0.0
2023-11-15,345183.13521396753,1074.1991162816616,0.0,0.0,0.0,0.0
2023-11-16,345183.13521396753,1074.1991162816616,0.0,0.0,0.0,0.0
2023-11-17,345183.13521396753,1074.1991162816616,0.0,0.0,0.0,0.0
2023-11-18,345183.13521396753,1074.1991162816616,0.0,0.0,0.0,0.0
2023-11-19,345183.13521396753,1074.1991162816616,0.0,0.0,0.0,0.0
2023-11-20,345183.13521396753,1074.1991162816616,0.0,0.0,0.0,0.0
2023-11-21,345183.13521396753,1074.1991162816616,0.0,0.0,0.0,0.0
2023-11-22,345055.11531441816,1202.219015831011,0.0,0.0,0.0,0.0
2023-11-23,345055.11531441816,1202.219015831011,0.0,0.0,0.0,0.0
2023-11-24,345055.11531441816,1202.219015831011,0.0,0.0,0.0,0.0
