time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear,year,total_check
2011-04-01,284867.386325294,57283.484830625755,149341.49554349092,77174.17351610903,8895.293573723719,442.8840760038384,2011,578004.7178652473
2012-04-01,327721.0419134124,47217.30042553848,111104.23689851217,73088.08947966258,18925.982398277243,2259.273576776916,2012,580315.9246921799
2013-04-01,396540.9781257479,52590.19062218738,72809.97678321505,48186.70939188611,4607.558408151754,2431.7425705504816,2013,577167.1559017387
2014-04-01,492405.66273811425,7968.076252572017,32476.139196141936,42366.18252015324,5521.818489655565,208.28318411628635,2014,580946.1623807533
2015-04-01,466790.3749608412,12329.626347611746,48568.636649415625,48461.47815915145,5299.8175663765705,444.4209743067583,2015,581894.3546577032
2016-04-01,475527.84910665464,15090.047109982335,54051.521961768536,34613.8541043941,2390.408786053279,220.67358885045925,2016,581894.3546577033
2017-04-01,382025.99467793386,20069.160995318915,107294.53514452543,59084.580322266374,12720.358112052596,699.7254056062119,2017,581894.3546577033
2018-04-01,557877.3004368639,439.80759055995895,3243.687115923311,15750.46327261916,4151.002569769945,432.093671967058,2018,581894.3546577033
2019-04-01,539569.8439941023,1350.122644830971,8587.317045265017,27996.872160045285,4171.064811750264,219.1340017094997,2019,581894.3546577034
2020-04-01,430263.1642176985,1835.5018405565088,48326.86235705702,70444.08466568193,25809.026476044557,5215.715100664756,2020,581894.3546577033
2021-04-01,377810.77168689284,9680.985334794674,85936.57321763149,78361.86938477069,24839.99042106004,5264.164612553637,2021,581894.3546577034
2022-04-01,341385.86302920966,30953.055451082782,118934.18848027952,71246.08377335015,15841.390091554966,3002.71824486075,2022,581363.2990703378
2023-04-01,309768.3186294172,28656.427395082686,127537.6014877916,92360.11037546552,18473.17207050075,3625.0818067510704,2023,580420.7117650089
